date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:34	8474/8474	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:39%20GMT	https://www.tiess.online/images/flags/Kenya.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Kenya.png	(from https://www.tiess.online/)
20:53:36	17321/17321	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:39%20GMT	https://www.tiess.online/images/flags/Kyrgyzstan.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Kyrgyzstan.png	(from https://www.tiess.online/)
20:53:36	3449/3449	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:39%20GMT	https://www.tiess.online/images/flags/Latvia.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Latvia.png	(from https://www.tiess.online/)
20:53:37	8752/8752	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:39%20GMT	https://www.tiess.online/images/flags/malay.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/malay.png	(from https://www.tiess.online/)
20:53:38	5484/5484	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:39%20GMT	https://www.tiess.online/images/flags/Maldives.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Maldives.png	(from https://www.tiess.online/)
20:53:39	3580/3580	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:40%20GMT	https://www.tiess.online/images/flags/Mauritius.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Mauritius.png	(from https://www.tiess.online/)
20:53:39	6967/6967	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:40%20GMT	https://www.tiess.online/images/flags/Myanmar.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Myanmar.png	(from https://www.tiess.online/)
20:53:40	8768/8768	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2012:48:06%20GMT	https://www.tiess.online/images/flags/singapore.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/singapore.png	(from https://www.tiess.online/)
20:53:41	18576/18576	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2012:20:52%20GMT	https://www.tiess.online/images/flags/Srilanka.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Srilanka.png	(from https://www.tiess.online/)
20:53:42	3899/3899	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:40%20GMT	https://www.tiess.online/images/flags/Switzerland.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Switzerland.png	(from https://www.tiess.online/)
20:53:43	3594/3594	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:40%20GMT	https://www.tiess.online/images/flags/thai.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/thai.png	(from https://www.tiess.online/)
20:53:44	10854/10854	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:40%20GMT	https://www.tiess.online/images/flags/Uruguay.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/Uruguay.png	(from https://www.tiess.online/)
20:53:44	15514/15514	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:40%20GMT	https://www.tiess.online/images/flags/uk.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/uk.png	(from https://www.tiess.online/)
20:53:45	21660/21660	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Dec%202020%2010:28:40%20GMT	https://www.tiess.online/images/flags/usa.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/flags/usa.png	(from https://www.tiess.online/)
20:53:55	430540/430540	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:28%20GMT	https://www.tiess.online/images/speakers/collage1.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/speakers/collage1.jpg	(from https://www.tiess.online/)
20:54:01	442448/442448	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:28%20GMT	https://www.tiess.online/images/speakers/collage3.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/speakers/collage3.jpg	(from https://www.tiess.online/)
20:54:06	49755/49755	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:11%20GMT	https://www.tiess.online/images/bigdata-analytics/vector.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/bigdata-analytics/vector.png	(from https://www.tiess.online/)
20:54:07	5405/5405	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:11%20GMT	https://www.tiess.online/images/bigdata-analytics/icon8.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/bigdata-analytics/icon8.png	(from https://www.tiess.online/)
20:54:10	61508/61508	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:03%20GMT	https://www.tiess.online/images/rectangle.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/rectangle.png	(from https://www.tiess.online/)
20:54:11	2479/2479	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:10%20GMT	https://www.tiess.online/images/bigdata-analytics/icon3.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/bigdata-analytics/icon3.png	(from https://www.tiess.online/)
20:54:12	9009/9009	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:10%20GMT	https://www.tiess.online/images/bigdata-analytics/icon7.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/bigdata-analytics/icon7.png	(from https://www.tiess.online/)
20:54:14	531795/531795	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:28%20GMT	https://www.tiess.online/images/speakers/collage4.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/speakers/collage4.jpg	(from https://www.tiess.online/)
20:54:14	432139/432139	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:28%20GMT	https://www.tiess.online/images/speakers/collage2.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/speakers/collage2.jpg	(from https://www.tiess.online/)
20:54:14	3777/3777	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:10%20GMT	https://www.tiess.online/images/bigdata-analytics/icon4.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/bigdata-analytics/icon4.png	(from https://www.tiess.online/)
20:54:14	4907/4907	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2005:26:10%20GMT	https://www.tiess.online/images/bigdata-analytics/icon5.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/bigdata-analytics/icon5.png	(from https://www.tiess.online/)
20:54:18	12761/12761	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2011:25:22%20GMT	https://www.tiess.online/images/logos/1.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/logos/1.png	(from https://www.tiess.online/)
20:54:21	25709/25709	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2011:25:22%20GMT	https://www.tiess.online/images/logos/2.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/logos/2.png	(from https://www.tiess.online/)
20:54:21	12579/12579	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2012:32:12%20GMT	https://www.tiess.online/images/logos/4.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/logos/4.png	(from https://www.tiess.online/)
20:54:22	21001/21001	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2011:25:22%20GMT	https://www.tiess.online/images/logos/3.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/logos/3.png	(from https://www.tiess.online/)
20:54:26	197932/197932	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Jan%202021%2006:24:02%20GMT	https://www.tiess.online/images/partners-band.png	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/partners-band.png	(from https://www.tiess.online/)
20:54:31	491696/491696	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:29%20GMT	https://www.tiess.online/images/speakers/collage5.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/speakers/collage5.jpg	(from https://www.tiess.online/)
20:54:35	133270/133270	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:16%20GMT	https://www.tiess.online/images/gallery/3.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/3.jpg	(from https://www.tiess.online/)
20:54:39	223828/223828	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:13%20GMT	https://www.tiess.online/images/gallery/1.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/1.jpg	(from https://www.tiess.online/)
20:54:41	76904/76904	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:16%20GMT	https://www.tiess.online/images/gallery/4.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/4.jpg	(from https://www.tiess.online/)
20:54:45	161341/161341	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:15%20GMT	https://www.tiess.online/images/gallery/2.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/2.jpg	(from https://www.tiess.online/)
20:54:46	112290/112290	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:16%20GMT	https://www.tiess.online/images/gallery/5.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/5.jpg	(from https://www.tiess.online/)
20:54:53	115322/115322	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:17%20GMT	https://www.tiess.online/images/gallery/7.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/7.jpg	(from https://www.tiess.online/)
20:54:55	109518/109518	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:17%20GMT	https://www.tiess.online/images/gallery/9.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/9.jpg	(from https://www.tiess.online/)
20:54:57	194448/194448	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:16%20GMT	https://www.tiess.online/images/gallery/6.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/6.jpg	(from https://www.tiess.online/)
20:54:58	137253/137253	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:17%20GMT	https://www.tiess.online/images/gallery/8.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/8.jpg	(from https://www.tiess.online/)
20:55:07	117373/117373	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:13%20GMT	https://www.tiess.online/images/gallery/10.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/10.jpg	(from https://www.tiess.online/)
20:55:07	134793/134793	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:14%20GMT	https://www.tiess.online/images/gallery/11.jpg	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/11.jpg	(from https://www.tiess.online/)
20:55:14	147694/147694	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:14%20GMT	https://www.tiess.online/images/gallery/12.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/12.jpg	(from https://www.tiess.online/)
20:55:18	117831/117831	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Nov%202020%2005:26:14%20GMT	https://www.tiess.online/images/gallery/14.JPG	C:/My%20Web%20Sites/hridaan/www.tiess.online/images/gallery/14.jpg	(from https://www.tiess.online/)
